,Country/Region,date_first_case,date_first_death,days_c1_to_d1,date,cases,deaths
29,Cabo Verde,2020-03-20,2020-03-24,4.0,2021-09-03,35739,315
30,Cambodia,2020-01-27,2021-03-11,409.0,2021-09-03,94417,1937
31,Cameroon,2020-03-06,2020-03-25,19.0,2021-09-03,84210,1357
32,Canada,2020-01-26,2020-03-09,43.0,2021-09-03,1519248,27061
33,Central African Republic,2020-03-15,2020-05-23,69.0,2021-09-03,11296,100
34,Chad,2020-03-19,2020-04-28,40.0,2021-09-03,4995,174
35,Chile,2020-02-23,2020-03-22,28.0,2021-09-03,1640192,37041
36,China,2020-01-22,2020-01-23,1.0,2021-09-03,26754,124
37,Colombia,2020-03-06,2020-03-22,16.0,2021-09-03,4914881,125158
38,Comoros,2020-04-30,2020-05-06,6.0,2021-09-03,4083,147
39,Congo (Brazzaville),2020-03-15,2020-04-02,18.0,2021-09-03,13588,183
40,Congo (Kinshasa),2020-03-11,2020-03-21,10.0,2021-09-03,55307,1061
41,Costa Rica,2020-03-06,2020-03-19,13.0,2021-09-03,472315,5568
